geoid,name,duration_sum,duration_difference,duration_reconciliation_status,coresident_components_sum,coresident_difference,coresident_reconciliation_status
1312400,"Cairo city, Georgia",235,0,Pass,306,0,Pass
1312456,"Calhoun city, Georgia",171,0,Pass,426,0,Pass
1312484,"Calvary CDP, Georgia",0,0,Pass,0,0,Pass
1312512,"Camak town, Georgia",0,0,Pass,5,0,Pass
1312624,"Camilla city, Georgia",59,0,Pass,185,0,Pass
1312834,"Candler-McAfee CDP, Georgia",371,0,Pass,821,0,Pass
1312932,"Canon city, Georgia",4,0,Pass,6,0,Pass
1312960,"Canoochee CDP, Georgia",0,0,Pass,0,0,Pass
1312988,"Canton city, Georgia",111,0,Pass,546,0,Pass
1313184,"Carl town, Georgia",0,0,Pass,0,0,Pass
1313212,"Carlton city, Georgia",3,0,Pass,5,0,Pass
1313352,"Carnesville city, Georgia",0,0,Pass,9,0,Pass
1313492,"Carrollton city, Georgia",126,0,Pass,357,0,Pass
1313688,"Cartersville city, Georgia",401,0,Pass,608,0,Pass
1314024,"Cataula CDP, Georgia",0,0,Pass,14,0,Pass
1314108,"Cave Spring city, Georgia",4,0,Pass,31,0,Pass
1314192,"Cecil city, Georgia",0,0,Pass,0,0,Pass
1314472,"Cedar Springs CDP, Georgia",0,0,Pass,0,0,Pass
1314500,"Cedartown city, Georgia",218,0,Pass,235,0,Pass
1314920,"Centerville city, Georgia",0,0,Pass,192,0,Pass
1315026,"Centralhatchee town, Georgia",25,0,Pass,39,0,Pass
1315172,"Chamblee city, Georgia",270,0,Pass,670,0,Pass
1315508,"Chatsworth city, Georgia",51,0,Pass,118,0,Pass
1315552,"Chattahoochee Hills city, Georgia",18,0,Pass,84,0,Pass
1315585,"Chattanooga Valley CDP, Georgia",0,0,Pass,160,0,Pass
1315648,"Chauncey city, Georgia",5,0,Pass,8,0,Pass
1315844,"Cherry Log CDP, Georgia",0,0,Pass,0,0,Pass
1315900,"Chester town, Georgia",0,0,Pass,0,0,Pass
1315984,"Chickamauga city, Georgia",10,0,Pass,153,0,Pass
1316460,"Clarkesville city, Georgia",0,0,Pass,22,0,Pass
1316544,"Clarkston city, Georgia",118,0,Pass,293,0,Pass
1316600,"Claxton city, Georgia",16,0,Pass,56,0,Pass
1316656,"Clayton city, Georgia",7,0,Pass,42,0,Pass
1316796,"Clermont town, Georgia",8,0,Pass,35,0,Pass
1316824,"Cleveland city, Georgia",37,0,Pass,47,0,Pass
1316908,"Climax city, Georgia",9,0,Pass,13,0,Pass
1317132,"Clyattville CDP, Georgia",0,0,Pass,0,0,Pass
1317272,"Cobbtown city, Georgia",12,0,Pass,12,0,Pass
1317328,"Cochran city, Georgia",59,0,Pass,71,0,Pass
1317468,"Cogdell CDP, Georgia",0,0,Pass,0,0,Pass
1317496,"Cohutta city, Georgia",13,0,Pass,20,0,Pass
1317552,"Colbert city, Georgia",6,0,Pass,41,0,Pass
1317580,"Coleman CDP, Georgia",0,0,Pass,0,0,Pass
1317776,"College Park city, Georgia",144,0,Pass,275,0,Pass
1317832,"Collins city, Georgia",0,0,Pass,5,0,Pass
1318000,"Colquitt city, Georgia",19,0,Pass,97,0,Pass
1319000,"Columbus city, Georgia",2052,0,Pass,4411,0,Pass
1319084,"Comer city, Georgia",0,0,Pass,46,0,Pass
1319112,"Commerce city, Georgia",250,0,Pass,352,0,Pass
1319168,"Concord city, Georgia",0,0,Pass,5,0,Pass
1319280,"Conley CDP, Georgia",78,0,Pass,163,0,Pass
1319336,"Conyers city, Georgia",192,0,Pass,394,0,Pass
1319392,"Coolidge city, Georgia",3,0,Pass,3,0,Pass
1319616,"Cordele city, Georgia",180,0,Pass,222,0,Pass
1319728,"Cornelia city, Georgia",13,0,Pass,113,0,Pass
1319830,"Country Club Estates CDP, Georgia",91,0,Pass,378,0,Pass
1320064,"Covington city, Georgia",56,0,Pass,155,0,Pass
1320288,"Crawford city, Georgia",3,0,Pass,33,0,Pass
1320316,"Crawfordville city, Georgia",6,0,Pass,61,0,Pass
1320372,"Crescent CDP, Georgia",0,0,Pass,0,0,Pass
1320550,"Crooked Creek CDP, Georgia",0,0,Pass,20,0,Pass
1320848,"Culloden city, Georgia",0,0,Pass,33,0,Pass
1320932,"Cumming city, Georgia",37,0,Pass,94,0,Pass
1321017,"Cusseta-Chattahoochee County unified government, Georgia",87,0,Pass,228,0,Pass
1321072,"Cuthbert city, Georgia",35,0,Pass,99,0,Pass
1321184,"Dacula city, Georgia",106,0,Pass,333,0,Pass
1321240,"Dahlonega city, Georgia",7,0,Pass,34,0,Pass
1321268,"Daisy city, Georgia",0,0,Pass,0,0,Pass
1321324,"Dallas city, Georgia",154,0,Pass,783,0,Pass
1321380,"Dalton city, Georgia",291,0,Pass,734,0,Pass
1321436,"Damascus city, Georgia",1,0,Pass,1,0,Pass
1321632,"Danielsville city, Georgia",5,0,Pass,20,0,Pass
1321688,"Danville town, Georgia",17,0,Pass,18,0,Pass
1321716,"Darien city, Georgia",20,0,Pass,20,0,Pass
1321744,"Dasher town, Georgia",0,0,Pass,0,0,Pass
1321800,"Davisboro city, Georgia",14,0,Pass,24,0,Pass
1321912,"Dawson city, Georgia",0,0,Pass,102,0,Pass
1321940,"Dawsonville city, Georgia",26,0,Pass,87,0,Pass
1322024,"Dearing town, Georgia",16,0,Pass,20,0,Pass
1322052,"Decatur city, Georgia",0,0,Pass,108,0,Pass
1322080,"Deenwood CDP, Georgia",14,0,Pass,19,0,Pass
1322108,"Deepstep town, Georgia",0,0,Pass,0,0,Pass
1322304,"Demorest city, Georgia",15,0,Pass,31,0,Pass
1322388,"Denton city, Georgia",56,0,Pass,56,0,Pass
1322472,"De Soto city, Georgia",0,0,Pass,0,0,Pass
1322724,"Dewy Rose CDP, Georgia",0,0,Pass,0,0,Pass
1322752,"Dexter town, Georgia",28,0,Pass,39,0,Pass
1322976,"Dillard city, Georgia",1,0,Pass,6,0,Pass
1323060,"Dixie CDP, Georgia",0,0,Pass,0,0,Pass
1323144,"Dixie Union CDP, Georgia",0,0,Pass,0,0,Pass
1323200,"Dock Junction CDP, Georgia",112,0,Pass,142,0,Pass
1323284,"Doerun city, Georgia",16,0,Pass,16,0,Pass
1323368,"Donalsonville city, Georgia",189,0,Pass,243,0,Pass
1323480,"Dooling town, Georgia",0,0,Pass,0,0,Pass
1323536,"Doraville city, Georgia",33,0,Pass,268,0,Pass
1323872,"Douglas city, Georgia",272,0,Pass,450,0,Pass
1323900,"Douglasville city, Georgia",113,0,Pass,966,0,Pass
1324264,"Druid Hills CDP, Georgia",0,0,Pass,0,0,Pass
1324376,"Dublin city, Georgia",57,0,Pass,337,0,Pass
1324488,"Dudley city, Georgia",0,0,Pass,1,0,Pass
1324600,"Duluth city, Georgia",225,0,Pass,696,0,Pass
1324768,"Dunwoody city, Georgia",48,0,Pass,490,0,Pass
1324796,"Du Pont town, Georgia",0,0,Pass,0,0,Pass
1324876,"Dutch Island CDP, Georgia",0,0,Pass,0,0,Pass
1324964,"Eagle Grove CDP, Georgia",0,0,Pass,0,0,Pass
1325300,"East Dublin city, Georgia",5,0,Pass,73,0,Pass
1325356,"East Ellijay city, Georgia",8,0,Pass,8,0,Pass
1325440,"East Griffin CDP, Georgia",19,0,Pass,39,0,Pass
1325552,"Eastman city, Georgia",11,0,Pass,399,0,Pass
1325692,"East Newnan CDP, Georgia",0,0,Pass,2,0,Pass
1325720,"East Point city, Georgia",377,0,Pass,1048,0,Pass
1326084,"Eatonton city, Georgia",51,0,Pass,77,0,Pass
1326156,"Echols County consolidated government, Georgia",162,0,Pass,162,0,Pass
1326224,"Edge Hill city, Georgia",0,0,Pass,0,0,Pass
1326448,"Edison city, Georgia",0,0,Pass,3,0,Pass
1326616,"Elberton city, Georgia",22,0,Pass,73,0,Pass
1326980,"Ellaville city, Georgia",4,0,Pass,29,0,Pass
1327008,"Ellenton town, Georgia",0,0,Pass,8,0,Pass
1327064,"Ellerslie CDP, Georgia",0,0,Pass,0,0,Pass
1327092,"Ellijay city, Georgia",0,0,Pass,35,0,Pass
1327344,"Emerson city, Georgia",32,0,Pass,48,0,Pass
1327512,"Empire CDP, Georgia",0,0,Pass,0,0,Pass
1327596,"Enigma town, Georgia",5,0,Pass,5,0,Pass
1327708,"Ephesus city, Georgia",7,0,Pass,17,0,Pass
1327736,"Epworth CDP, Georgia",0,0,Pass,0,0,Pass
1327932,"Eton city, Georgia",2,0,Pass,18,0,Pass
1327988,"Euharlee city, Georgia",0,0,Pass,160,0,Pass
1328016,"Eulonia CDP, Georgia",72,0,Pass,98,0,Pass
1328044,"Evans CDP, Georgia",173,0,Pass,690,0,Pass
1328100,"Everett CDP, Georgia",0,0,Pass,0,0,Pass
1328296,"Experiment CDP, Georgia",49,0,Pass,109,0,Pass
1328324,"Faceville CDP, Georgia",0,0,Pass,0,0,Pass
1328380,"Fairburn city, Georgia",194,0,Pass,511,0,Pass
1328440,"Fairfield Plantation CDP, Georgia",59,0,Pass,111,0,Pass
1328492,"Fairmount city, Georgia",14,0,Pass,77,0,Pass
1328520,"Fair Oaks CDP, Georgia",35,0,Pass,101,0,Pass
1328548,"Fairplay CDP, Georgia",6,0,Pass,48,0,Pass
1328632,"Fairview CDP, Georgia",124,0,Pass,204,0,Pass
1328744,"Fargo city, Georgia",0,0,Pass,1,0,Pass
1328968,"Fayetteville city, Georgia",138,0,Pass,586,0,Pass
1329528,"Fitzgerald city, Georgia",26,0,Pass,163,0,Pass
1330088,"Flemington city, Georgia",10,0,Pass,127,0,Pass
1330312,"Flovilla city, Georgia",48,0,Pass,70,0,Pass
1330340,"Flowery Branch city, Georgia",0,0,Pass,216,0,Pass
1330424,"Folkston city, Georgia",59,0,Pass,189,0,Pass
1330536,"Forest Park city, Georgia",105,0,Pass,363,0,Pass
1330732,"Forsyth city, Georgia",8,0,Pass,73,0,Pass
1330816,"Fort Gaines city, Georgia",22,0,Pass,52,0,Pass
1330956,"Fort Oglethorpe city, Georgia",15,0,Pass,127,0,Pass
1331068,"Fort Stewart CDP, Georgia",0,0,Pass,22,0,Pass
1331096,"Fort Valley city, Georgia",87,0,Pass,164,0,Pass
1331292,"Franklin city, Georgia",21,0,Pass,31,0,Pass
1331320,"Franklin Springs city, Georgia",18,0,Pass,29,0,Pass
1331684,"Funston city, Georgia",3,0,Pass,9,0,Pass
1331908,"Gainesville city, Georgia",163,0,Pass,968,0,Pass
1332048,"Garden City city, Georgia",183,0,Pass,188,0,Pass
1332132,"Gardi CDP, Georgia",5,0,Pass,5,0,Pass
1332188,"Garfield city, Georgia",0,0,Pass,7,0,Pass
1332384,"Gay town, Georgia",0,0,Pass,0,0,Pass
1332412,"Geneva town, Georgia",0,0,Pass,0,0,Pass
1332482,"Georgetown CDP, Georgia",102,0,Pass,219,0,Pass
1332528,"Georgetown-Quitman County unified government, Georgia",42,0,Pass,147,0,Pass
1332748,"Gibson city, Georgia",60,0,Pass,79,0,Pass
1332860,"Gillsville city, Georgia",1,0,Pass,8,0,Pass
1332916,"Girard town, Georgia",2,0,Pass,8,0,Pass
1333280,"Glenn CDP, Georgia",0,0,Pass,0,0,Pass
1333336,"Glennville city, Georgia",107,0,Pass,126,0,Pass
1333392,"Glenwood city, Georgia",18,0,Pass,22,0,Pass
1333672,"Godfrey CDP, Georgia",0,0,Pass,0,0,Pass
1333896,"Good Hope city, Georgia",12,0,Pass,52,0,Pass
1333980,"Gordon city, Georgia",50,0,Pass,84,0,Pass
1334176,"Gough CDP, Georgia",0,0,Pass,9,0,Pass
1334260,"Graham city, Georgia",18,0,Pass,38,0,Pass
1334428,"Grantville city, Georgia",31,0,Pass,64,0,Pass
1334512,"Gray city, Georgia",0,0,Pass,63,0,Pass
1334596,"Grayson city, Georgia",0,0,Pass,432,0,Pass
1334876,"Greensboro city, Georgia",58,0,Pass,153,0,Pass
1335016,"Greenville city, Georgia",0,0,Pass,43,0,Pass
1335240,"Gresham Park CDP, Georgia",18,0,Pass,107,0,Pass
1335324,"Griffin city, Georgia",289,0,Pass,712,0,Pass
1335716,"Grovetown city, Georgia",96,0,Pass,662,0,Pass
1335800,"Gumbranch city, Georgia",0,0,Pass,2,0,Pass
1335814,"Gumlog CDP, Georgia",22,0,Pass,46,0,Pass
1335884,"Guyton city, Georgia",31,0,Pass,76,0,Pass
1336024,"Hagan city, Georgia",0,0,Pass,38,0,Pass
1336052,"Hahira city, Georgia",23,0,Pass,47,0,Pass
1336220,"Hamilton city, Georgia",5,0,Pass,25,0,Pass
1336276,"Hampton city, Georgia",126,0,Pass,286,0,Pass
1336416,"Hannahs Mill CDP, Georgia",57,0,Pass,86,0,Pass
1336472,"Hapeville city, Georgia",0,0,Pass,71,0,Pass
1336528,"Haralson town, Georgia",0,0,Pass,0,0,Pass
1336668,"Hardwick CDP, Georgia",38,0,Pass,73,0,Pass
1336696,"Harlem city, Georgia",165,0,Pass,181,0,Pass
1336920,"Harrison town, Georgia",2,0,Pass,3,0,Pass
1337144,"Hartwell city, Georgia",90,0,Pass,151,0,Pass
1337396,"Hawkinsville city, Georgia",0,0,Pass,156,0,Pass
1337564,"Hazlehurst city, Georgia",49,0,Pass,100,0,Pass
1337788,"Helen city, Georgia",0,0,Pass,0,0,Pass
1337910,"Henderson CDP, Georgia",0,0,Pass,0,0,Pass
1338040,"Hephzibah city, Georgia",39,0,Pass,114,0,Pass
1338105,"Heron Bay CDP, Georgia",29,0,Pass,182,0,Pass
1338124,"Hiawassee city, Georgia",80,0,Pass,95,0,Pass
1338292,"Hickox CDP, Georgia",0,0,Pass,0,0,Pass
1338348,"Higgston town, Georgia",2,0,Pass,6,0,Pass
1338866,"Hilltop CDP, Georgia",0,0,Pass,9,0,Pass
1338920,"Hiltonia town, Georgia",5,0,Pass,15,0,Pass
1338964,"Hinesville city, Georgia",407,0,Pass,732,0,Pass
1339076,"Hiram city, Georgia",13,0,Pass,145,0,Pass
1339216,"Hoboken city, Georgia",3,0,Pass,6,0,Pass
1339244,"Hogansville city, Georgia",11,0,Pass,22,0,Pass
1339524,"Holly Springs city, Georgia",48,0,Pass,349,0,Pass
1339692,"Homeland city, Georgia",2,0,Pass,21,0,Pass
1339720,"Homer town, Georgia",7,0,Pass,67,0,Pass
1339748,"Homerville city, Georgia",14,0,Pass,128,0,Pass
1340028,"Hortense CDP, Georgia",0,0,Pass,0,0,Pass
1340056,"Hoschton city, Georgia",34,0,Pass,102,0,Pass
1340196,"Howard CDP, Georgia",0,0,Pass,0,0,Pass
1340532,"Hull city, Georgia",0,0,Pass,0,0,Pass
1340812,"Ideal city, Georgia",54,0,Pass,64,0,Pass
1340840,"Ila city, Georgia",0,0,Pass,9,0,Pass
1341036,"Indian Springs CDP, Georgia",0,0,Pass,0,0,Pass
1341344,"Iron City town, Georgia",6,0,Pass,8,0,Pass
1341347,"Irondale CDP, Georgia",275,0,Pass,733,0,Pass
1341400,"Irwinton city, Georgia",5,0,Pass,14,0,Pass
1341484,"Isle of Hope CDP, Georgia",0,0,Pass,0,0,Pass
1341540,"Ivey city, Georgia",16,0,Pass,27,0,Pass
1341596,"Jackson city, Georgia",9,0,Pass,119,0,Pass
1341708,"Jacksonville city, Georgia",0,0,Pass,5,0,Pass
1341792,"Jakin city, Georgia",2,0,Pass,2,0,Pass
1341932,"Jasper city, Georgia",81,0,Pass,159,0,Pass
1341988,"Jefferson city, Georgia",106,0,Pass,220,0,Pass
1342100,"Jeffersonville city, Georgia",17,0,Pass,37,0,Pass
1342128,"Jekyll Island CDP, Georgia",0,0,Pass,0,0,Pass
1342156,"Jenkinsburg city, Georgia",0,0,Pass,12,0,Pass
1342184,"Jersey city, Georgia",22,0,Pass,31,0,Pass
1342268,"Jesup city, Georgia",15,0,Pass,156,0,Pass
1342425,"Johns Creek city, Georgia",207,0,Pass,1917,0,Pass
1342604,"Jonesboro city, Georgia",0,0,Pass,0,0,Pass
1342772,"Juliette CDP, Georgia",0,0,Pass,0,0,Pass
1342800,"Junction City town, Georgia",2,0,Pass,67,0,Pass
1343192,"Kennesaw city, Georgia",262,0,Pass,536,0,Pass
1343210,"Kennesaw State University CDP, Georgia",0,0,Pass,0,0,Pass
1343360,"Keysville city, Georgia",3,0,Pass,5,0,Pass
1343580,"Kings Bay Base CDP, Georgia",0,0,Pass,0,0,Pass
1343640,"Kingsland city, Georgia",89,0,Pass,502,0,Pass
1343668,"Kingston city, Georgia",15,0,Pass,39,0,Pass
1343892,"Kite city, Georgia",0,0,Pass,1,0,Pass
1344060,"Knoxville CDP, Georgia",0,0,Pass,0,0,Pass
1344312,"LaFayette city, Georgia",160,0,Pass,278,0,Pass
1344340,"LaGrange city, Georgia",558,0,Pass,928,0,Pass
1344508,"Lake City city, Georgia",11,0,Pass,203,0,Pass
1344592,"Lakeland city, Georgia",61,0,Pass,110,0,Pass
1344704,"Lake Park city, Georgia",0,0,Pass,0,0,Pass
1344900,"Lakeview CDP, Georgia",62,0,Pass,94,0,Pass
1344956,"Lakeview Estates CDP, Georgia",45,0,Pass,65,0,Pass
1345460,"Lavonia city, Georgia",0,0,Pass,8,0,Pass
1345488,"Lawrenceville city, Georgia",181,0,Pass,704,0,Pass
1345600,"Leary city, Georgia",3,0,Pass,10,0,Pass
1345768,"Leesburg city, Georgia",99,0,Pass,99,0,Pass
1345936,"Lenox town, Georgia",0,0,Pass,14,0,Pass
1346020,"Leslie city, Georgia",1,0,Pass,3,0,Pass
1346188,"Lexington city, Georgia",0,0,Pass,0,0,Pass
1346356,"Lilburn city, Georgia",20,0,Pass,331,0,Pass
1346384,"Lilly city, Georgia",3,0,Pass,3,0,Pass
1346524,"Lincoln Park CDP, Georgia",0,0,Pass,0,0,Pass
1346552,"Lincolnton city, Georgia",3,0,Pass,18,0,Pass
1346580,"Lindale CDP, Georgia",40,0,Pass,138,0,Pass
1346832,"Lithia Springs CDP, Georgia",58,0,Pass,187,0,Pass
1346860,"Lithonia city, Georgia",62,0,Pass,62,0,Pass
1347140,"Locust Grove city, Georgia",215,0,Pass,369,0,Pass
1347196,"Loganville city, Georgia",50,0,Pass,520,0,Pass
1347252,"Lone Oak town, Georgia",33,0,Pass,44,0,Pass
1347336,"Lookout Mountain city, Georgia",0,0,Pass,18,0,Pass
1347560,"Louisville city, Georgia",12,0,Pass,20,0,Pass
1347616,"Lovejoy city, Georgia",116,0,Pass,299,0,Pass
1347784,"Ludowici city, Georgia",21,0,Pass,73,0,Pass
1347896,"Lula city, Georgia",43,0,Pass,51,0,Pass
1347952,"Lumber City city, Georgia",2,0,Pass,49,0,Pass
1347980,"Lumpkin city, Georgia",0,0,Pass,1,0,Pass
1348008,"Luthersville city, Georgia",7,0,Pass,23,0,Pass
1348092,"Lyerly town, Georgia",5,0,Pass,15,0,Pass
1348232,"Lyons city, Georgia",85,0,Pass,151,0,Pass
1348288,"Mableton city, Georgia",431,0,Pass,1904,0,Pass
1348428,"McCaysville city, Georgia",32,0,Pass,61,0,Pass
1348624,"McDonough city, Georgia",203,0,Pass,606,0,Pass
1348848,"McIntyre town, Georgia",0,0,Pass,5,0,Pass
1349008,"Macon-Bibb County, Georgia",1048,0,Pass,2563,0,Pass
1349100,"McRae-Helena city, Georgia",33,0,Pass,117,0,Pass
1349196,"Madison city, Georgia",0,0,Pass,86,0,Pass
1349504,"Manassas city, Georgia",0,0,Pass,9,0,Pass
1349532,"Manchester city, Georgia",17,0,Pass,147,0,Pass
1349588,"Manor CDP, Georgia",0,0,Pass,0,0,Pass
1349616,"Mansfield city, Georgia",0,0,Pass,5,0,Pass
1349756,"Marietta city, Georgia",186,0,Pass,684,0,Pass
1349924,"Marshallville city, Georgia",11,0,Pass,49,0,Pass
1350008,"Martin town, Georgia",0,0,Pass,9,0,Pass
1350036,"Martinez CDP, Georgia",214,0,Pass,747,0,Pass
1350176,"Matthews CDP, Georgia",0,0,Pass,0,0,Pass
1350260,"Maxeys town, Georgia",0,0,Pass,0,0,Pass
1350484,"Maysville town, Georgia",22,0,Pass,69,0,Pass
1350596,"Meansville city, Georgia",13,0,Pass,13,0,Pass
1350680,"Meigs city, Georgia",38,0,Pass,38,0,Pass
1350820,"Mendes CDP, Georgia",0,0,Pass,0,0,Pass
1350848,"Menlo city, Georgia",4,0,Pass,9,0,Pass
1350960,"Mershon CDP, Georgia",0,0,Pass,0,0,Pass
1351072,"Metter city, Georgia",34,0,Pass,34,0,Pass
1351240,"Midville city, Georgia",2,0,Pass,5,0,Pass
1351352,"Midway city, Georgia",5,0,Pass,33,0,Pass
1351408,"Milan city, Georgia",10,0,Pass,38,0,Pass
1351492,"Milledgeville city, Georgia",70,0,Pass,118,0,Pass
1351520,"Millen city, Georgia",29,0,Pass,51,0,Pass
1351576,"Millwood CDP, Georgia",0,0,Pass,0,0,Pass
1351604,"Milner city, Georgia",0,0,Pass,5,0,Pass
1351660,"Milstead CDP, Georgia",0,0,Pass,23,0,Pass
1351670,"Milton city, Georgia",71,0,Pass,410,0,Pass
1351744,"Mineral Bluff CDP, Georgia",0,0,Pass,0,0,Pass
1351968,"Mitchell town, Georgia",0,0,Pass,0,0,Pass
1352108,"Molena city, Georgia",7,0,Pass,16,0,Pass
1352192,"Monroe city, Georgia",232,0,Pass,533,0,Pass
1352304,"Montezuma city, Georgia",113,0,Pass,208,0,Pass
1352332,"Montgomery CDP, Georgia",0,0,Pass,47,0,Pass
1352416,"Monticello city, Georgia",36,0,Pass,138,0,Pass
1352500,"Montrose town, Georgia",0,0,Pass,0,0,Pass
1352556,"Moody AFB CDP, Georgia",0,0,Pass,13,0,Pass
1352668,"Moreland town, Georgia",13,0,Pass,36,0,Pass
