geography_type,geoid,name,acs_period,source_variable,duration,estimate_grandparents_in_duration,moe_grandparents_in_duration,denominator_responsible_grandparents,denominator_moe,percent_of_responsible_grandparents,percent_moe,percent_ci90_lower,percent_ci90_upper,precision_disposition,duration_reconciliation_status
State/DC,25,Massachusetts,2020-2024,B10050_004,Less than six months,2488,570,27413,1923,9.075985846131395,1.97943386395742,7.0965519821739775,11.055419710088817,Retained,Pass
State/DC,34,New Jersey,2020-2024,B10050_004,Less than six months,3207,484,40539,2258,7.9109006142233405,1.1096254650189763,6.801275149204364,9.020526079242316,Retained,Pass
State/DC,15,Hawaii,2020-2024,B10050_004,Less than six months,941,238,10432,892,9.020322085889571,2.1471105254322995,6.873211560457271,11.167432611321871,Retained,Pass
State/DC,06,California,2020-2024,B10050_004,Less than six months,18624,1223,209799,4504,8.877068050848669,0.550907593066113,8.326160457782557,9.42797564391478,Retained,Pass
United States,1,United States,2020-2024,B10050_004,Less than six months,179962,4159,2118863,17781,8.493328733382008,0.1828869212518262,8.31044181213018,8.676215654633834,Retained,Pass
Georgia county,13251,"Screven County, Georgia",2020-2024,B10050_004,Less than six months,0,23,242,111,0,9.50413223140496,0,9.50413223140496,Unavailable MOE or zero percentage,Pass
Georgia county,13303,"Washington County, Georgia",2020-2024,B10050_004,Less than six months,5,8,588,215,0.8503401360544218,1.3245403080970295,0,2.1748804441514515,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13131,"Grady County, Georgia",2020-2024,B10050_004,Less than six months,17,30,496,196,3.4274193548387095,5.89479702194788,0,9.322216376786589,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13033,"Burke County, Georgia",2020-2024,B10050_004,Less than six months,2,4,500,219,0.4,0.7805798870070891,0,1.1805798870070892,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13191,"McIntosh County, Georgia",2020-2024,B10050_004,Less than six months,0,23,312,151,0,7.371794871794872,0,7.371794871794872,Unavailable MOE or zero percentage,Pass
Georgia county,13145,"Harris County, Georgia",2020-2024,B10050_004,Less than six months,36,54,480,214,7.5,10.74159373359,0,18.24159373359,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13263,"Talbot County, Georgia",2020-2024,B10050_004,Less than six months,0,20,160,77,0,12.5,0,12.5,Unavailable MOE or zero percentage,Pass
Georgia county,13177,"Lee County, Georgia",2020-2024,B10050_004,Less than six months,169,153,616,308,27.435064935064936,20.706008147441715,6.729056787623222,48.14107308250665,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13267,"Tattnall County, Georgia",2020-2024,B10050_004,Less than six months,72,87,352,176,20.454545454545457,22.50064565189333,0,42.95519110643879,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13195,"Madison County, Georgia",2020-2024,B10050_004,Less than six months,48,75,482,231,9.95850622406639,14.810152731519976,0,24.768658955586368,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13209,"Montgomery County, Georgia",2020-2024,B10050_004,Less than six months,0,20,195,80,0,10.256410256410255,0,10.256410256410255,Unavailable MOE or zero percentage,Pass
Georgia county,13103,"Effingham County, Georgia",2020-2024,B10050_004,Less than six months,6,11,772,368,0.7772020725388601,1.3758635850864838,0,2.1530656576253437,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13031,"Bulloch County, Georgia",2020-2024,B10050_004,Less than six months,69,87,1046,351,6.596558317399618,8.01743436389165,0,14.613992681291268,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13291,"Union County, Georgia",2020-2024,B10050_004,Less than six months,146,129,379,187,38.52242744063325,28.2354933266716,10.286934113961642,66.75792076730485,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13279,"Toombs County, Georgia",2020-2024,B10050_004,Less than six months,0,27,494,235,0,5.465587044534413,0,5.465587044534413,Unavailable MOE or zero percentage,Pass
Georgia county,13095,"Dougherty County, Georgia",2020-2024,B10050_004,Less than six months,43,39,855,221,5.029239766081871,4.3722439958198125,0.6569957702620588,9.401483761901684,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13299,"Ware County, Georgia",2020-2024,B10050_004,Less than six months,15,22,384,186,3.90625,5.407711782040769,0,9.313961782040767,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13069,"Coffee County, Georgia",2020-2024,B10050_004,Less than six months,2,3,613,278,0.3262642740619902,0.46649300723641274,0,0.792757281298403,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13127,"Glynn County, Georgia",2020-2024,B10050_004,Less than six months,213,189,838,259,25.41766109785203,21.141322062767596,4.276339035084433,46.558983160619626,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13001,"Appling County, Georgia",2020-2024,B10050_004,Less than six months,33,56,250,124,13.2,21.42181533297307,0,34.62181533297307,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13055,"Chattooga County, Georgia",2020-2024,B10050_004,Less than six months,56,62,463,175,12.095032397408207,12.586415021988778,0,24.681447419396985,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13285,"Troup County, Georgia",2020-2024,B10050_004,Less than six months,104,180,784,305,13.26530612244898,22.37168339002462,0,35.636989512473605,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13199,"Meriwether County, Georgia",2020-2024,B10050_004,Less than six months,60,56,393,187,15.267175572519085,12.258503885195266,3.008671687323819,27.52567945771435,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13295,"Walker County, Georgia",2020-2024,B10050_004,Less than six months,78,88,1090,346,7.155963302752294,7.747249090169525,0,14.90321239292182,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13017,"Ben Hill County, Georgia",2020-2024,B10050_004,Less than six months,0,23,184,92,0,12.5,0,12.5,Unavailable MOE or zero percentage,Pass
Georgia county,13213,"Murray County, Georgia",2020-2024,B10050_004,Less than six months,16,23,642,272,2.4922118380062304,3.423418231372155,0,5.915630069378386,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13179,"Liberty County, Georgia",2020-2024,B10050_004,Less than six months,49,51,679,222,7.216494845360824,7.130836918563201,0.08565792679762296,14.347331763924023,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13047,"Catoosa County, Georgia",2020-2024,B10050_004,Less than six months,71,86,798,370,8.897243107769423,9.956127970139748,0,18.853371077909173,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13215,"Muscogee County, Georgia",2020-2024,B10050_004,Less than six months,90,80,2052,420,4.385964912280701,3.793872894927994,0.5920920173527073,8.179837807208695,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13077,"Coweta County, Georgia",2020-2024,B10050_004,Less than six months,204,132,1744,527,11.69724770642202,6.692758257036026,5.004489449385993,18.390005963458044,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13233,"Polk County, Georgia",2020-2024,B10050_004,Less than six months,0,30,648,245,0,4.62962962962963,0,4.62962962962963,Unavailable MOE or zero percentage,Pass
Georgia county,13137,"Habersham County, Georgia",2020-2024,B10050_004,Less than six months,12,18,525,200,2.2857142857142856,3.316157330412435,0,5.60187161612672,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13051,"Chatham County, Georgia",2020-2024,B10050_004,Less than six months,219,144,2176,440,10.064338235294118,6.2969634928505105,3.7673747424436073,16.36130172814463,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13255,"Spalding County, Georgia",2020-2024,B10050_004,Less than six months,35,46,957,279,3.657262277951933,4.686940597142808,0,8.34420287509474,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13261,"Sumter County, Georgia",2020-2024,B10050_004,Less than six months,0,27,272,133,0,9.926470588235292,0,9.926470588235292,Unavailable MOE or zero percentage,Pass
Georgia county,13313,"Whitfield County, Georgia",2020-2024,B10050_004,Less than six months,84,99,906,287,9.271523178807946,10.52504894873997,0,19.79657212754792,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13129,"Gordon County, Georgia",2020-2024,B10050_004,Less than six months,51,77,520,192,9.807692307692308,14.35806132221897,0,24.16575362991128,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13021,"Bibb County, Georgia",2020-2024,B10050_004,Less than six months,0,34,1048,315,0,3.2442748091603053,0,3.2442748091603053,Unavailable MOE or zero percentage,Pass
Georgia county,13277,"Tift County, Georgia",2020-2024,B10050_004,Less than six months,36,35,296,147,12.162162162162163,10.165290648394931,1.9968715137672304,22.327452810557094,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13071,"Colquitt County, Georgia",2020-2024,B10050_004,Less than six months,72,62,469,159,15.35181236673774,12.151988245505576,3.199824121232165,27.503800612243317,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13245,"Richmond County, Georgia",2020-2024,B10050_004,Less than six months,202,139,2037,515,9.916543937162494,6.3464962507669265,3.5700476863955677,16.26304018792942,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13029,"Bryan County, Georgia",2020-2024,B10050_004,Less than six months,11,18,318,144,3.459119496855346,5.439327394932809,0,8.898446891788154,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13035,"Butts County, Georgia",2020-2024,B10050_004,Less than six months,0,27,254,126,0,10.62992125984252,0,10.62992125984252,Unavailable MOE or zero percentage,Pass
Georgia county,13187,"Lumpkin County, Georgia",2020-2024,B10050_004,Less than six months,1,3,293,122,0.3412969283276451,1.013980814451062,0,1.355277742778707,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13257,"Stephens County, Georgia",2020-2024,B10050_004,Less than six months,28,32,272,127,10.294117647058822,10.738081507085765,0,21.032199154144585,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13063,"Clayton County, Georgia",2020-2024,B10050_004,Less than six months,575,279,3318,626,17.329716696805306,7.746991058666423,9.582725638138882,25.07670775547173,Retained,Pass
Georgia county,13115,"Floyd County, Georgia",2020-2024,B10050_004,Less than six months,34,37,973,328,3.494347379239465,3.6156255106337807,0,7.109972889873246,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13297,"Walton County, Georgia",2020-2024,B10050_004,Less than six months,27,45,1033,328,2.6137463697967087,4.2764578582994695,0,6.890204228096178,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13149,"Heard County, Georgia",2020-2024,B10050_004,Less than six months,0,23,230,115,0,10,0,10,Unavailable MOE or zero percentage,Pass
Georgia county,13107,"Emanuel County, Georgia",2020-2024,B10050_004,Less than six months,0,27,193,91,0,13.989637305699482,0,13.989637305699482,Unavailable MOE or zero percentage,Pass
Georgia county,13275,"Thomas County, Georgia",2020-2024,B10050_004,Less than six months,34,28,467,152,7.28051391862955,5.507564614462573,1.7729493041669775,12.788078533092122,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13175,"Laurens County, Georgia",2020-2024,B10050_004,Less than six months,13,19,364,165,3.571428571428571,4.962379867122156,0,8.533808438550727,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13185,"Lowndes County, Georgia",2020-2024,B10050_004,Less than six months,23,38,664,210,3.463855421686747,5.617061101792904,0,9.080916523479653,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13207,"Monroe County, Georgia",2020-2024,B10050_004,Less than six months,21,27,293,120,7.167235494880546,8.734989713947451,0,15.902225208827996,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13153,"Houston County, Georgia",2020-2024,B10050_004,Less than six months,218,158,1344,372,16.220238095238095,10.864922230856685,5.35531586438141,27.08516032609478,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13157,"Jackson County, Georgia",2020-2024,B10050_004,Less than six months,19,25,741,236,2.564102564102564,3.2734934461780267,0,5.83759601028059,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13089,"DeKalb County, Georgia",2020-2024,B10050_004,Less than six months,683,306,5526,731,12.359753890698515,5.290581065620827,7.069172825077688,17.65033495631934,Retained,Pass
Georgia county,13015,"Bartow County, Georgia",2020-2024,B10050_004,Less than six months,90,72,1447,485,6.219765031098825,4.518037049178275,1.7017279819205493,10.7378020802771,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13121,"Fulton County, Georgia",2020-2024,B10050_004,Less than six months,505,215,5388,924,9.37268002969562,3.6523057960449057,5.720374233650714,13.024985825740524,Retained,Pass
Georgia county,13247,"Rockdale County, Georgia",2020-2024,B10050_004,Less than six months,51,54,926,335,5.50755939524838,5.4805860741149095,0.02697332113347084,10.988145469363287,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13045,"Carroll County, Georgia",2020-2024,B10050_004,Less than six months,230,192,1097,294,20.96627164995442,16.575771129810207,4.390500520144215,37.54204277976463,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13217,"Newton County, Georgia",2020-2024,B10050_004,Less than six months,109,78,923,326,11.80931744312026,7.349634028720063,4.459683414400198,19.158951471840325,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13223,"Paulding County, Georgia",2020-2024,B10050_004,Less than six months,232,165,1575,513,14.73015873015873,9.312972678680072,5.417186051478657,24.043131408838804,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13151,"Henry County, Georgia",2020-2024,B10050_004,Less than six months,229,114,2267,659,10.101455668284077,4.0822781383406,6.019177529943477,14.183733806624677,Retained,Pass
Georgia county,13139,"Hall County, Georgia",2020-2024,B10050_004,Less than six months,117,97,1680,422,6.964285714285714,5.502418391340223,1.4618673229454917,12.466704105625936,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13097,"Douglas County, Georgia",2020-2024,B10050_004,Less than six months,209,133,1495,395,13.979933110367892,8.093277953803982,5.88665515656391,22.073211064171872,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13067,"Cobb County, Georgia",2020-2024,B10050_004,Less than six months,124,86,3775,755,3.28476821192053,2.18136648022859,1.1034017316919402,5.4661346921491205,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13135,"Gwinnett County, Georgia",2020-2024,B10050_004,Less than six months,344,142,6214,1006,5.535886707434825,2.1020847127668123,3.4338019946680127,7.637971420201637,Retained,Pass
Georgia county,13073,"Columbia County, Georgia",2020-2024,B10050_004,Less than six months,93,93,962,348,9.667359667359667,9.012652739466718,0.6547069278929492,18.680012406826386,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13057,"Cherokee County, Georgia",2020-2024,B10050_004,Less than six months,96,105,995,301,9.64824120603015,10.14110111342828,0,19.78934231945843,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13113,"Fayette County, Georgia",2020-2024,B10050_004,Less than six months,68,45,553,226,12.296564195298371,6.400278890743916,5.896285304554455,18.69684308604229,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13117,"Forsyth County, Georgia",2020-2024,B10050_004,Less than six months,37,37,983,260,3.7639877924720246,3.6299396223344744,0.13404817013755022,7.393927414806499,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13013,"Barrow County, Georgia",2020-2024,B10050_004,Less than six months,6,11,385,144,1.5584415584415583,2.797051245249891,0,4.355492803691449,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13003,"Atkinson County, Georgia",2020-2024,B10050_004,Less than six months,0,20,94,64,0,21.27659574468085,0,21.27659574468085,Unavailable MOE or zero percentage,Pass
Georgia county,13005,"Bacon County, Georgia",2020-2024,B10050_004,Less than six months,0,23,35,29,0,65.71428571428571,0,65.71428571428571,Unavailable MOE or zero percentage,Pass
Georgia county,13007,"Baker County, Georgia",2020-2024,B10050_004,Less than six months,9,14,27,27,33.33333333333333,39.71779738801336,0,73.05113072134668,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13009,"Baldwin County, Georgia",2020-2024,B10050_004,Less than six months,3,33,298,161,1.006711409395973,11.060460665793563,0,12.067172075189536,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13011,"Banks County, Georgia",2020-2024,B10050_004,Less than six months,0,23,233,127,0,9.871244635193133,0,9.871244635193133,Unavailable MOE or zero percentage,Pass
Georgia county,13019,"Berrien County, Georgia",2020-2024,B10050_004,Less than six months,2,5,300,168,0.6666666666666667,1.6243152403397565,0,2.2909819070064232,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13023,"Bleckley County, Georgia",2020-2024,B10050_004,Less than six months,0,23,205,145,0,11.219512195121952,0,11.219512195121952,Unavailable MOE or zero percentage,Pass
Georgia county,13025,"Brantley County, Georgia",2020-2024,B10050_004,Less than six months,0,23,491,255,0,4.684317718940937,0,4.684317718940937,Unavailable MOE or zero percentage,Pass
Georgia county,13027,"Brooks County, Georgia",2020-2024,B10050_004,Less than six months,0,23,227,124,0,10.13215859030837,0,10.13215859030837,Unavailable MOE or zero percentage,Pass
Georgia county,13037,"Calhoun County, Georgia",2020-2024,B10050_004,Less than six months,0,20,8,12,0,250,0,100,Unavailable MOE or zero percentage,Pass
Georgia county,13039,"Camden County, Georgia",2020-2024,B10050_004,Less than six months,54,74,312,170,17.307692307692307,21.76251969217978,0,39.070211999872086,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13043,"Candler County, Georgia",2020-2024,B10050_004,Less than six months,16,22,117,71,13.675213675213676,16.8730919938313,0,30.548305669044975,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13049,"Charlton County, Georgia",2020-2024,B10050_004,Less than six months,41,47,137,87,29.927007299270077,28.561521088087616,1.3654862111824606,58.48852838735769,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13053,"Chattahoochee County, Georgia",2020-2024,B10050_004,Less than six months,0,20,87,45,0,22.988505747126435,0,22.988505747126435,Unavailable MOE or zero percentage,Pass
Georgia county,13059,"Clarke County, Georgia",2020-2024,B10050_004,Less than six months,0,34,269,136,0,12.639405204460964,0,12.639405204460964,Unavailable MOE or zero percentage,Pass
Georgia county,13061,"Clay County, Georgia",2020-2024,B10050_004,Less than six months,21,24,36,29,58.333333333333336,47.289689458495424,11.043643874837912,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13065,"Clinch County, Georgia",2020-2024,B10050_004,Less than six months,0,20,46,52,0,43.47826086956522,0,43.47826086956522,Unavailable MOE or zero percentage,Pass
Georgia county,13075,"Cook County, Georgia",2020-2024,B10050_004,Less than six months,26,45,191,127,13.612565445026178,21.75218775824304,0,35.36475320326922,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13079,"Crawford County, Georgia",2020-2024,B10050_004,Less than six months,0,23,115,109,0,20,0,20,Unavailable MOE or zero percentage,Pass
Georgia county,13081,"Crisp County, Georgia",2020-2024,B10050_004,Less than six months,10,22,252,200,3.968253968253968,8.142290909929947,0,12.110544878183916,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13083,"Dade County, Georgia",2020-2024,B10050_004,Less than six months,0,23,242,186,0,9.50413223140496,0,9.50413223140496,Unavailable MOE or zero percentage,Pass
Georgia county,13085,"Dawson County, Georgia",2020-2024,B10050_004,Less than six months,91,102,175,134,52,42.56547455966861,9.434525440331392,94.56547455966862,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13087,"Decatur County, Georgia",2020-2024,B10050_004,Less than six months,9,15,259,157,3.474903474903475,5.394866249269624,0,8.8697697241731,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13091,"Dodge County, Georgia",2020-2024,B10050_004,Less than six months,0,23,179,94,0,12.849162011173185,0,12.849162011173185,Unavailable MOE or zero percentage,Pass
Georgia county,13093,"Dooly County, Georgia",2020-2024,B10050_004,Less than six months,0,23,57,56,0,40.35087719298245,0,40.35087719298245,Unavailable MOE or zero percentage,Pass
Georgia county,13099,"Early County, Georgia",2020-2024,B10050_004,Less than six months,17,24,111,73,15.315315315315312,19.13229248703237,0,34.447607802347676,Percentage MOE exceeds 50% of estimate,Pass
Georgia county,13101,"Echols County, Georgia",2020-2024,B10050_004,Less than six months,0,14,162,148,0,8.641975308641975,0,8.641975308641975,Unavailable MOE or zero percentage,Pass
